,gadX,fur,rob,bglJ,gadW,rhaS,fis,rhaR,ompR,putA,tdcA,zraR,cspA,metR,soxR,nhaR,yjjQ,ydeO,marR,leuO,ptsG,melR,xylR,adiY,fliZ,uxuR,malI,srlR,hns,arcA,dpiA,hdfR,yiaJ,aidB,nikR,purR,puuR,fnr,metJ,fucR,exuR,cadC,nac,galS,crp,idnR,csgD,lrp,marA,oxyR,flhD,glnG,gutM,yqjI,hyfR,araC,rcsA,prpR,dcuR,mazE,mazF,betI,evgA,mlrA,stpA,gadE,flhC,soxS,lldR,yeiL,rcsB,lsrR,asnC,galR,narL,mlc
0-0,0.0,0.0,0.0,0.0,0.0285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0,0.0,0.257142857142857,0.0,0.0,0.0,0.0285714285714286,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0
0-1,0.0,0.0,0.0,0.0,0.0,0.172330097087379,0.0,0.172330097087379,0.0,0.0,0.5,0.264563106796116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269417475728155,0.601941747572815,0.0,0.0,0.16747572815534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186893203883495,0.16747572815534,0.0,0.0,0.0,0.0,0.281553398058252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339805825242718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.146666666666667,0.0
0-3,0.194130925507901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45372460496614,0.126410835214447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474040632054176,0.0,0.126410835214447,0.0,0.442437923250564,0.0,0.0,0.553047404063205,0.0,0.0,0.126410835214447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442437923250564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331828442437923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126410835214447,0.0,0.0,0.0,0.126410835214447,0.0,0.0,0.0,0.0,0.0
0-4,0.0,0.273037542662116,0.283276450511945,0.273037542662116,0.0,0.252559726962457,0.0102389078498294,0.0,0.0102389078498294,0.0580204778156997,0.242320819112628,0.41296928327645,0.00341296928327645,0.0,0.0511945392491468,0.0,0.273037542662116,0.0,0.0,0.273037542662116,0.283276450511945,0.406143344709898,0.0,0.0170648464163823,0.0716723549488055,0.0,0.0,0.0,0.0,0.245733788395904,0.0204778156996587,0.0170648464163823,0.0,0.0,0.0307167235494881,0.249146757679181,0.00341296928327645,0.249146757679181,0.249146757679181,0.0,0.0102389078498294,0.0,0.0,0.0102389078498294,0.0,0.0,0.0273037542662116,0.0,0.225255972696246,0.0102389078498294,0.0204778156996587,0.0,0.0,0.245733788395904,0.0136518771331058,0.0,0.0,0.0102389078498294,0.279863481228669,0.0,0.0,0.0068259385665529,0.0,0.194539249146758,0.0,0.0,0.0784982935153584,0.279863481228669,0.255972696245734,0.0,0.0170648464163823,0.0102389078498294,0.0,0.0,0.245733788395904,0.252559726962457
0.2-0,0.300884955752212,0.0,0.0,0.0,0.0,0.327433628318584,0.0,0.0,0.0,0.0,0.0,0.495575221238938,0.469026548672566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469026548672566,0.0,0.0,0.0,0.0,0.212389380530973,0.247787610619469,0.0,0.469026548672566,0.0,0.0,0.539823008849557,0.0,0.0,0.575221238938053,0.0,0.47787610619469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300884955752212,0.0,0.0,0.247787610619469,0.0,0.0,0.0,0.0,0.292035398230089,0.0,0.0,0.0,0.0,0.0,0.0,0.327433628318584,0.0,0.0,0.575221238938053,0.0,0.469026548672566,0.0,0.0,0.0,0.247787610619469,0.0
0.2-1,0.0,0.252533783783784,0.0,0.0,0.0,0.294763513513513,0.0,0.294763513513513,0.0,0.0,0.510135135135135,0.429898648648649,0.0,0.0,0.358952702702703,0.0,0.0,0.0,0.0,0.0,0.0540540540540541,0.0,0.0,0.0,0.246621621621622,0.0,0.0,0.42652027027027,0.0,0.00675675675675676,0.0,0.0,0.0,0.0,0.00675675675675676,0.0,0.0,0.163006756756757,0.358952702702703,0.436655405405405,0.0,0.0,0.169763513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169763513513514,0.0,0.0489864864864865,0.00675675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106418918918919,0.0,0.358952702702703,0.0,0.0,0.0,0.358952702702703,0.163006756756757,0.0,0.0,0.0,0.252533783783784,0.0,0.00675675675675676,0.00253378378378378
0.2-2,0.0,0.0191780821917808,0.0,0.0,0.0,0.435616438356164,0.0,0.435616438356164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246575342465753,0.0,0.0,0.0602739726027397,0.0,0.361643835616438,0.547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191780821917808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361643835616438,0.0,0.0,0.0,0.0,0.0,0.572602739726027,0.0,0.547945205479452,0.0,0.0,0.446575342465753,0.0,0.0,0.0,0.0,0.0191780821917808,0.0,0.375342465753425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443835616438356,0.0191780821917808,0.0
0.2-3,0.0,0.0,0.0,0.0,0.0,0.131534569983137,0.0,0.0,0.0,0.0,0.0,0.24283305227656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185497470489039,0.131534569983137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197301854974705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24283305227656,0.0,0.0,0.0,0.165261382799325,0.0,0.252951096121417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126475548060708,0.0792580101180438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200674536256324,0.0,0.0
0.2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
